"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-1114 b",-0.857052204338918,-0.782258408656852,-0.333524114860977,-0.131098846681827,-0.335993181101234,-0.304192147085641,-0.345599685648267,-0.195836682311045,-0.0744303696023009,"Terran",0.0130333693136636,-0.210746417426041,"G",-0.509929744422318,-0.296235950161323,-0.285458002584531,"non-habitable"
"Kepler-1115 b",-0.7173118127625,-0.71289320964985,-0.174206087425752,0.106391687958235,-0.181107984784762,-0.119964161453685,-0.202757423348177,0.876176954229632,0.797386196888371,"Superterran",2.8452240641254,0.0713792080172109,"A",2.3430249018885,1.14079134738249,1.03394028462396,"non-habitable"
"Kepler-1116 b",-0.452139284068298,-0.550318524477187,-0.08632475902267,0.412040328629557,-0.095671847886833,-0.0183422648799092,-0.123964282577354,-0.651635304226853,-0.457037125900832,"Neptunian",0.314094119462537,-0.179399125710124,"G",-0.305130387193032,-0.212042433544671,-0.208484883215246,"non-habitable"
"Kepler-1117 b",-1.01455369406281,-0.827779320505198,-0.466918251320799,-0.691717839604244,-0.465675787305018,-0.458442946262144,-0.465198958475286,0.676998607397386,0.636425754208868,"Terran",0.282092302410564,-0.179399125710124,"G",-0.316388454052454,-0.216105318892791,-0.211970562708119,"non-habitable"
"Kepler-1118 b",-0.401492945387955,-0.513468262504716,-0.107498719840495,0.37142830161413,-0.116256668894609,-0.0428268521680857,-0.142948552680129,-0.557441144878051,-0.376576474462047,"Neptunian",0.365611442451616,-0.166860209023758,"G",-0.238513498280608,-0.184765630965093,-0.183178895061378,"non-habitable"
"Kepler-1119 b",-0.642675328154797,-0.671707622739442,-0.401227532862885,-0.428380240974133,-0.401812833511789,-0.382481242925478,-0.406301600858542,0.648951016997031,0.613742365858945,"Superterran",0.782475230191211,-0.104165625591924,"F",0.202463734592492,-0.010786125829122,-0.0241526760979989,"non-habitable"
"Kepler-112 b",-0.502614231118641,-0.585001123980688,-0.417678676859652,-0.42352303536248,-0.417806244355429,-0.401504583652552,-0.421051461020338,0.247543821824757,0.288336042649925,"Superterran",0.206400454027724,-0.20761168825445,"G",-0.443736393670692,-0.270189640554426,-0.262648505762788,"non-habitable"
"Kepler-112 c",-0.492929780327606,-0.578498136573781,-0.207625461360304,0.209160495315059,-0.213597505123137,-0.158608777133142,-0.232720755522904,-0.508545471250304,-0.335166041397843,"Superterran",0.206400454027724,-0.20761168825445,"G",-0.443736393670692,-0.270189640554426,-0.262648505762788,"non-habitable"
"Kepler-1120 b",-0.843144619242741,-0.775755421249946,-0.508327222632358,-0.903143485124743,-0.505932604151823,-0.506326362185818,-0.502325649264045,0.573984482307123,0.55308697977347,"Terran",-0.555202701547993,-0.238958979970366,"K",-0.716655434339564,-0.389713240708157,-0.370061949199552,"non-habitable"
"Kepler-1121 b",-0.64646240247728,-0.67387528520841,-0.322083721233294,-0.198038355419919,-0.324871102567581,-0.290963005934484,-0.335342392524009,0.648942701308104,0.613735680013779,"Superterran",0.931732027946392,0.0274929996149273,"F",0.826203050572677,0.268268907766338,0.235666947200295,"non-habitable"
"Kepler-1122 b",-0.601991974921204,-0.647863335580784,-0.0876368379639213,0.418394606091458,-0.0969474198209699,-0.0198594921782143,-0.125140673769875,-0.71858788337066,-0.514877566823147,"Superterran",0.206400454027724,-0.191938042396491,"G",-0.387748470992762,-0.245423501856343,-0.239022962147139,"non-habitable"
"Kepler-1123 b",-0.729635611099079,-0.719396197056756,-0.475900429050415,-0.736496543083835,-0.474408046820136,-0.468829520439309,-0.473252250421808,0.676882511011181,0.63633188114712,"Superterran",0.156927127471096,-0.188803313224899,"G",-0.392510991237789,-0.246407062726315,-0.239387999016379,"non-habitable"
"Kepler-1124 b",-0.885390061734443,-0.795264383470666,-0.530482512037891,-0.916836652857864,-0.527471449468116,-0.531945712387313,-0.522189764528002,-0.427994712042025,-0.26739197223849,"Terran",-2.37513588777583,-0.364348146834034,"M",-1.00574521274671,-0.607620494479176,-0.578120656375391,"non-habitable"
"Kepler-1125 b",-0.669506468815287,-0.686881260022223,-0.296258478837436,-0.0449530491119508,-0.299764416257212,-0.261099892125971,-0.312187849954918,-0.1062878540056,-0.000695733184224925,"Superterran",0.360151146635439,-0.176264396538533,"G",-0.276683326890777,-0.200985813204612,-0.198521770042818,"non-habitable"
"Kepler-1126 b",-0.709180276736973,-0.708557884711912,0.286813333618454,0.932787558799205,0.267084129338483,0.41313733775184,0.210585988733715,-1.13371913529276,-0.893731152055847,"Superterran",0.484539057562645,-0.179399125710124,"G",-0.242958225499439,-0.189947058807971,-0.189508173915855,"non-habitable"
