"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-179 b",-0.742113402347394,-0.725899184463663,-0.510791223842794,-0.933789620544325,-0.508328047513419,-0.509175619026998,-0.504534837470018,0.773446291296453,0.714392151258438,"Superterran",-0.0707138392804725,-0.232689521627183,"G",-0.600413434249709,-0.337264498405981,-0.3239858270591,"non-habitable"
"HD 136352 d",-0.368262240655266,-0.4881023961814,0.251658061184655,0.927748875890567,0.235732946141044,0.296745248342959,0.236267436309549,-1.11433574687747,-0.877209203950194,"Superterran",0.339358125781571,-0.173116774225858,"G",-0.272235651234591,-0.198527431087835,-0.1959362036814,"non-habitable"
"Kepler-1336 c",-0.713237690137413,-0.710725547180881,-0.450536720607854,-0.604772249848373,-0.449750052839907,-0.43950010311126,-0.45051151258705,0.844863307842213,0.77209344405112,"Superterran",0.170458988351098,-0.0634141463612317,"G",0.0637364618160252,-0.048579537342166,-0.0506422807193616,"non-habitable"
"HAT-P-23 b",1.41051245242035,1.32037418624292,-0.552524161397926,-1.2231034782749,-0.548636436856993,-0.563135613914672,-0.537539793249301,1.82906669085975,1.56254237316063,"Jovian",0.598078206835637,-0.169994938195349,"G",-0.160356349063885,-0.158285210773438,-0.160873995474257,"non-habitable"
"Kepler-41 b",1.00327381493485,1.75390668003669,-0.522658444161218,-1.0822462019186,-0.519865076802193,-0.522898322788208,-0.515174817293936,1.56920127360088,1.35651836426072,"Jovian",0.432923225599828,-0.0665488755328234,"G",0.179172078811613,-0.00722144204218686,-0.015629248758421,"non-habitable"
"WASP-79 b",1.19788671679027,2.57761841824485,-0.472244058875426,-0.811407172230106,-0.470853410716013,-0.464601463370645,-0.469974001274426,1.53789820334436,1.33127828039631,"Jovian",1.28895475672135,0.030627728786519,"F",1.06683442072611,0.368249628137135,0.323538012213954,"non-habitable"
"Kepler-320 b",-0.98456297444436,-0.821276333098292,-0.397205725851201,-0.425718867334162,-0.39790292840827,-0.377830611629755,-0.402695706275664,0.685570367553358,0.643357162201382,"Terran",1.13175544239399,-0.122974000621474,"F",0.298278449615088,0.01584110642589,-0.00341600927897067,"non-habitable"
"Kepler-155 b",-0.587626694025666,-0.639192685704909,-0.463794050187854,-0.592360960271436,-0.462638513284003,-0.454830264818009,-0.462397844471462,-0.13736051054756,-0.026246118961458,"Superterran",-1.07795809625476,-0.276575730029467,"M",-0.862571420205932,-0.472922757766324,-0.447643601848818,"non-habitable"
"K2-187 c",-0.681239355233854,-0.69338424742913,-0.503211025710165,-0.914019797790273,-0.500958759211332,-0.500410229101284,-0.497738540356762,0.937422745493686,0.846844892206152,"Superterran",0.138838655824093,-0.182533854881716,"G",-0.376249970301583,-0.238836332056003,-0.23194024514554,"non-habitable"
"Kepler-97 b",-0.722736185359555,-0.756246459029226,-0.510514090077404,-0.956318100844008,-0.508058624659337,-0.508855154380465,-0.504286363303941,1.17394864873843,1.03774265976792,"Terran",0.464159060585449,-0.163725479852166,"G",-0.188224896919216,-0.166091057259129,-0.166667543521575,"non-habitable"
"HD 31527 c",-0.153807915470995,-0.298440361019388,-0.0174163067928214,0.523101431076542,-0.0282787202707057,0.0373310324904874,-0.0437221805158011,-0.664271635215017,-0.468366878519285,"Neptunian",0.590713537065823,-0.168352199046622,"G",-0.156505747232082,-0.156435516042191,-0.159041269631968,"non-habitable"
"Kepler-109 c",0.0379002506925518,-0.554653849415124,-0.250022208843945,0.0512782595969947,-0.254814614466608,-0.207634411657984,-0.27073307228468,0.15479908381752,0.212850032848351,"Neptunian",0.647301791902875,-0.0571446880180484,"G",0.326600501681266,0.0492003889000233,0.0343174822187363,"non-habitable"
"K2-209 b",-1.21461680209162,-0.875467894822513,-0.527828712869224,-1.04033696851916,-0.524891489046558,-0.528876981980679,-0.519810406190185,0.698823852258457,0.654073519375511,"Terran",-0.79263841687513,-0.248363167485142,"K",-0.776034148034698,-0.420584409305417,-0.398162781654264,"non-habitable"
"K2-258 b",-0.334660958899575,-0.461444363249464,-0.256339833056467,-0.00440093920492196,-0.260956458438458,-0.214939819598248,-0.276397363698565,0.287903772112416,0.321140600352908,"Neptunian",1.05017161360267,-0.06027941718964,"F",0.536787022389471,0.124882718660469,0.0995403245930791,"non-habitable"
"Kepler-1640 b",0.0155973168878282,-0.110283043276512,-0.404477401665426,-0.474184995185391,-0.404972278651724,-0.38623924064048,-0.409215386695629,0.928486367786257,0.839629316602367,"Neptunian",1.02371896827897,-0.0226626671305398,"F",0.681136254845719,0.193091918868823,0.163758895814494,"non-habitable"
"HD 35759 b",1.89318499419126,1.46896116400989,0.20989998657606,0.78234395827639,0.242413442017021,-0.00363586397021608,0.369503838578227,-0.621683991468092,-0.477699173363161,"Jovian",0.758954434229566,-0.0491850150528344,"G",0.419279905817256,0.0856931880347347,0.0669643057498177,"non-habitable"
"Kepler-127 d",-0.424962827302719,-0.530809562256467,0.00903245720958607,0.495158790979518,-0.00296783068243822,0.0919244020174201,-0.03846836781785,-0.337667188604351,-0.191949254824996,"Neptunian",0.805907275501845,-0.0446057713316816,"F",0.464084973875594,0.103745503313793,0.0832222061040393,"non-habitable"
"Kepler-9 d",-0.742113402347394,-0.725899184463663,-0.531518853569507,-1.13556189892016,-0.528478956052017,-0.533144089720185,-0.523118933507023,1.47629407689562,1.28160381178253,"Superterran",0.462009901875084,-0.151186563165799,"G",-0.13915879865136,-0.145169259198534,-0.146815707632491,"non-habitable"
"K2-157 b",-1.06351533000518,-0.838617632850042,-0.573764481665037,-1.48990606354418,-0.569549150721289,-0.581994976786062,-0.560995758789129,2.19965511437345,1.86476505896267,"Terran",0.107056493071159,-0.195072771568083,"G",-0.430048973685392,-0.261974844392806,-0.253691741212022,"non-habitable"
"HATS-68 b",1.39273897471865,1.6281822568365,-0.476137655359112,-0.820505792399106,-0.474563944640396,-0.474046281109349,-0.469639443903498,1.51899060028054,1.31566097927704,"Jovian",0.847459410180036,0.0776486663603943,"F",0.961048027346141,0.341417386834762,0.305866380156823,"non-habitable"
"Kepler-111 c",0.334457651469223,0.368770362365602,0.793148777471731,1.33209469166933,0.759331402831049,0.998640186216859,0.664559098036293,-1.34720449115478,-1.11490810695827,"Jovian",0.647301791902875,-0.107300354763515,"G",0.122441165180112,-0.0399464021553443,-0.0497885833619551,"non-habitable"
"HD 192310 b",-0.0752343154943553,-0.215932108168754,0.0846654184181722,0.728531219193195,0.0754505620693947,0.0883694604274075,0.0977210268607282,-1.16999072874253,-0.934315985079387,"Neptunian",-0.232052271577887,-0.213151491362007,"K",-0.58056905470971,-0.325187007445596,-0.310670504645357,"non-habitable"
"Kepler-11 e",-0.400423288148704,-0.231672141538767,-0.15985785922931,0.269703033856532,-0.167130904815521,-0.108943422639668,-0.185582036526244,-0.372491693459222,-0.221013694473965,"Neptunian",0.338261825305311,-0.138647646479432,"G",-0.14093312468788,-0.142236576968836,-0.142413409092191,"non-habitable"
"rho CrB b",1.29428249523754,1.61451689495585,-0.10977430619086,0.387543436892304,-0.118169664959358,-0.0646112491965045,-0.130237812648878,-0.264180739851158,-0.131331655896978,"Jovian",0.298665554925993,-0.0446057713316816,"G",0.194083853179686,0.00435048163539033,-0.00238618241476413,"non-habitable"
"Kepler-851 b",-0.725510705100924,-0.717228534587787,-0.412130784368087,-0.417791846221065,-0.412412715251837,-0.395089257812297,-0.416077300046527,0.198711898509638,0.248610292907066,"Superterran",0.10591840197815,-0.204476959082858,"G",-0.462672248364826,-0.276566183264206,-0.267636991987863,"non-habitable"
"HD 108874 c",1.26907456922746,1.62083366836119,2.5906142462503,2.42243740854898,2.55587069301965,2.53492962910504,2.62905311241888,-1.89341541057498,-2.24118912916957,"Jovian",0.268801780415942,-0.141782375651024,"G",-0.180781496955325,-0.157336412430203,-0.155844016791449,"non-habitable"
"Kepler-32 c",0.950492796865219,-0.65653398545666,-0.385905120673695,-0.403723996555466,-0.386916748880504,-0.364763115365904,-0.392563745474359,-0.959284256842473,-0.729082872586915,"Jovian",-1.97742896374091,-0.304788292573792,"M",-0.958004855755626,-0.54749473860131,-0.51758573034214,"non-habitable"
"Kepler-287 b",-0.512404420152249,-0.591504111387595,-0.264911340597401,0.0289441718655746,-0.269289474165416,-0.224851513795802,-0.284082454633846,-0.0794978506138921,0.0213058322442618,"Superterran",0.493100139782409,-0.148051833994207,"K",-0.113753677374645,-0.135327827262597,-0.137888482979618,"non-habitable"
"Kepler-1097 b",-0.275144305599303,-0.411588126463181,0.558224294851251,1.233111709856,0.530943409356722,0.726984398698417,0.453929170542173,-1.59468921106791,-1.42969551120394,"Neptunian",-0.178202867495612,-0.223285334112408,"K",-0.597438978190299,-0.334134611539056,-0.319877959909551,"non-habitable"
"K2-138 e",-0.267678501248595,-0.405085139056274,-0.412954775064798,-0.432248381680247,-0.404644298024497,-0.461626365208947,-0.367111907810151,0.211855431358644,0.229626310500976,"Neptunian",0.0176530414862644,-0.201342229911266,"K",-0.477745507986151,-0.281626363262962,-0.271497042730042,"non-habitable"
"K2-246 b",-0.226569993897988,-0.368234877083804,-0.454037790667052,-0.605427370734064,-0.453153709865832,-0.443548578321164,-0.453650521874183,0.595247287899685,0.570294872243574,"Neptunian",0.27987918976004,-0.176264396538533,"G",-0.305488401909399,-0.211332890255191,-0.20740055836986,"non-habitable"
"Kepler-224 b",-0.83854715706217,-0.773587758780977,-0.506050861146093,-0.877998912683683,-0.503719579666375,-0.503694083228214,-0.500284696148159,0.513414486971932,0.504048038438531,"Terran",-0.412524253034349,-0.257767354999917,"K",-0.737338730613659,-0.402460000522405,-0.38377684568878,"non-habitable"
"Kepler-1138 b",-0.7173118127625,-0.71289320964985,-0.497747773871094,-0.872985627614807,-0.495647515736611,-0.494092777790125,-0.492840266980102,0.916712368372295,0.830121875287985,"Superterran",0.248812511981709,-0.182533854881716,"G",-0.33948258190892,-0.225312810551296,-0.220344668425112,"non-habitable"
"Kepler-242 b",-0.433928698840437,-0.537312549663373,-0.419964011562993,-0.435688323971534,-0.420027992389058,-0.404147238822649,-0.423100459394178,0.0849188446753556,0.155863346640719,"Neptunian",-0.410050151793803,-0.204476959082858,"K",-0.598517542778711,-0.331261201787778,-0.314617268363335,"non-habitable"
"Kepler-127 c",-0.421994453807851,-0.528641899787498,-0.149595308635588,0.224250005118416,-0.157181971101435,-0.0915053970920116,-0.180691751459392,-0.0263317631763748,0.064900078744519,"Neptunian",0.805907275501845,-0.0446057713316816,"F",0.464084973875594,0.103745503313793,0.0832222061040393,"non-habitable"
