"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"K2-269 b",-0.767540769219131,-0.470553187878299,-0.756995862534833,1.15225435894107,-0.0163932087873564,0.638886294362523,"non-habitable"
"HD 31253 b",1.05070610357048,1.40634733911036,1.73357998310704,-1.1496882382706,0.0776486663603943,0.950036308143183,"non-habitable"
"GJ 4276 b",-0.0842166352252462,-0.404011112653048,-0.190262764975363,-1.08247245793348,-0.342405042632892,-1.00418141371897,"non-habitable"
"HD 208487 b",0.968755190257082,0.437878904478999,1.03169180119543,-0.779454080385114,-0.0940176608866051,0.237236682538166,"non-habitable"
"Kepler-329 c",-0.638903285608081,-0.334581260557697,-0.0157166658668567,-0.783576627394166,-0.307923021745384,-0.933065184736733,"non-habitable"
"Kepler-661 b",-0.318731529572571,-0.460186479919826,-0.584596280023513,0.00361399000975474,-0.260902084171508,-0.840659755259931,"non-habitable"
"Kepler-257 c",0.104175230233788,-0.440628211437169,-0.542819779110426,0.455446617056147,-0.144917104822616,-0.36752245582501,"non-habitable"
"Kepler-1194 b",-0.789222033483607,-0.31295960630822,-0.0894987392226116,0.00384901530487422,-0.182533854881716,-0.336443033829887,"non-habitable"
"Kepler-142 d",-0.563013124565783,-0.0650408229444043,0.413478950710291,-0.214003404037265,-0.0728183338760068,0.176448040947935,"non-habitable"
"WASP-124 b",1.03542276210477,-0.489766435218644,-0.846850029667538,0.972000709009065,-0.151186563165799,-0.016322731440742,"non-habitable"
"Kepler-42 b",-1.2668365626354,-0.569372045257758,-1.2228820349681,-0.399644112856555,-0.417638542751093,-1.0258366806675,"non-habitable"
"K2-266 b",-0.251285318940861,-0.565827251095082,-1.38240912444935,1.10078029565824,-0.251497896656733,-0.856273073511272,"non-habitable"
"Kepler-926 b",-0.518990972504375,-0.00302106252821232,0.532164940774836,-0.478639206189295,-0.154321292337391,-0.138952090783191,"non-habitable"
"Kepler-1390 b",-0.954221966343491,-0.437050077330488,-0.550248562437592,0.552555942453303,-0.163725479852166,-0.199208454123507,"non-habitable"
"Kepler-290 c",-0.410220508125947,-0.139375429893121,0.34429798958041,-0.679162868568907,-0.238958979970366,-0.659070430081363,"non-habitable"
"Kepler-129 b",-0.502614231118641,-0.295149228249256,-0.103526792753999,0.4445005304333,0.0431666454728857,0.595853687249482,"non-habitable"
"Kepler-704 b",-0.433928698840437,-0.485186513229392,-0.79974838375066,0.779531940251768,-0.169994938195349,-0.279691226880674,"non-habitable"
"Kepler-679 b",-0.33198545253898,-0.363382805834544,-0.228443826774526,0.0391985106231407,-0.20761168825445,-0.490330754664009,"non-habitable"
"HD 207832 c",1.12686807349871,2.19262423539357,2.2346424287219,-2.15955437334268,-0.191938042396491,-0.320444011645235,"non-habitable"
"Kepler-1003 b",-0.689141107411844,-0.484390247778899,-0.824296689655703,1.05370170463638,-0.104165625591924,0.215863868867696,"non-habitable"
"Kepler-221 c",-0.353625994114248,-0.456821343961578,-0.611879049693935,0.378027239577398,-0.213881146597633,-0.560039595007457,"non-habitable"
"HD 2039 b",2.13409280063169,2.26116264395509,2.21732341360094,-1.96200433718605,-0.0978961672487404,0.157629527952072,"non-habitable"
"Kepler-757 b",-0.852397099613272,-0.548138229797716,-1.27275249424735,1.64478265692268,-0.116704542278291,0.114220750215074,"non-habitable"
"Kepler-1317 b",-0.771840843644318,-0.566884154944452,-1.41310805841882,1.49831226736523,-0.223285334112408,-0.61597324201796,"non-habitable"
"Kepler-755 c",-0.894991955002278,-0.508797289854658,-0.916724149783424,0.630234873880387,-0.229554792455591,-0.659764458563612,"non-habitable"
"KELT-6 c",1.88691836305326,2.40293082279863,2.2893023007348,-1.6485091878606,0.0713792080172109,0.909202296749175,"non-habitable"
"30 Ari B b",2.50275134082655,1.09363118167646,1.55187080386282,-1.08075827963863,-0.0289321254737232,0.659088503263017,"non-habitable"
"Kepler-107 e",-0.233680956067517,-0.312596522781229,-0.13894614269272,0.398517239883822,-0.0289321254737232,0.379642488328034,"non-habitable"
"Kepler-141 c",-0.829409520092116,-0.438323591206092,-0.512403781539609,0.152259619648297,-0.223285334112408,-0.677168745471836,"non-habitable"
