"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"Kepler-1478 b",-0.709180276736973,-0.202689018978113,0.160568243395219,-0.0719653263928165,-0.138647646479432,-0.0306716590886318,"non-habitable"
"Kepler-1479 b",-0.673401584124826,-0.327675326292279,-0.14659084396333,0.150180043016838,-0.163725479852166,-0.181015410458991,"non-habitable"
"Kepler-148 b",-0.681239355233854,-0.529844631632094,-1.10721542807723,0.983193140438672,-0.204476959082858,-0.52213608626756,"non-habitable"
"Kepler-148 c",-0.203290500748812,-0.477799086919745,-0.753242141210989,0.540297616307381,-0.204476959082858,-0.52213608626756,"non-habitable"
"Kepler-1480 b",-0.729635611099079,-0.262591062258224,0.0733083851496183,-0.349014905952095,-0.217015875769225,-0.594674567007803,"non-habitable"
"Kepler-1481 b",-0.904672103408129,-0.455452954202694,-0.591483642524084,0.201457510257937,-0.235824250798775,-0.708244083653451,"non-habitable"
"Kepler-1482 b",-1.101505510553,-0.364219693411909,-0.234238500985592,0.0358320765345773,-0.20761168825445,-0.497431095052041,"non-habitable"
"Kepler-1483 b",-0.784849451113693,-0.375555764638863,-0.36246049730546,0.715477008433174,-0.0320668546453149,0.649431743223904,"non-habitable"
"Kepler-1484 b",-0.580526843360593,-0.176532070766978,0.2432188881968,-0.278859578674041,-0.182533854881716,-0.282355624909479,"non-habitable"
"Kepler-1485 b",-0.806896487166325,-0.256660854078072,0.0177943808877455,0.137422898095311,-0.119839271449882,0.137186665488539,"non-habitable"
"Kepler-1486 b",-0.515691684386762,0.0264369040173573,0.558397130159003,-0.400179591776545,-0.119839271449882,0.0767867545578472,"non-habitable"
"Kepler-1487 b",-0.573481232618176,-0.403735750413761,-0.491504181293901,0.988134003199338,0.040031916301294,1.06808848735786,"non-habitable"
"Kepler-1488 b",-0.661763243848923,-0.0851114219724835,0.3871807521431,-0.149903964722878,-0.06027941718964,0.241382172620738,"non-habitable"
"Kepler-1489 b",-0.69311621935904,0.160464796435701,0.781202719953776,-0.818597031045234,-0.188803313224899,-0.335227581593862,"non-habitable"
"Kepler-149 b",-0.0856632851793365,-0.182587445558637,0.22070785763726,-0.338268359212069,-0.173129667366941,-0.382158186152303,"non-habitable"
"Kepler-149 c",-0.750518700821969,0.0109519241531896,0.565094434531383,-0.661323217028261,-0.173129667366941,-0.382158186152303,"non-habitable"
"Kepler-149 d",-0.132855086893218,0.512534228629085,1.14533363122574,-1.20192369027187,-0.173129667366941,-0.382158186152303,"non-habitable"
"Kepler-1490 b",-0.326659312565085,0.20495056793059,0.844675076670364,-0.933421589307684,-0.198207500739674,-0.420397898467798,"non-habitable"
"Kepler-1491 b",-0.789222033483607,-0.303302024758447,-0.0779935790700004,0.0700771031827191,-0.160590750680574,-0.197458671834644,"non-habitable"
"Kepler-1492 b",-0.798022299725966,-0.324848656709524,-0.072791778380817,-0.409633966361006,-0.24522843831355,-0.771145438528694,"non-habitable"
"Kepler-1493 b",-0.829409520092116,-0.315973772333063,-0.129460626428695,0.343355484250012,-0.0665488755328234,0.240325864157581,"non-habitable"
"Kepler-1494 b",-0.318731529572571,0.212970149480408,0.836600106978123,-0.843997164596212,-0.176264396538533,-0.286203357151879,"non-habitable"
"Kepler-1495 b",-0.350891013641376,0.198943960752275,0.800612249939426,-0.70562000577296,-0.144917104822616,-0.0898631885786027,"non-habitable"
"Kepler-1496 b",-0.545828195889702,0.108910475638648,0.649769335579931,-0.357817310691303,-0.0728183338760068,0.388925535131549,"non-habitable"
"Kepler-1497 b",-0.7337776437804,-0.404214064007614,-0.404302237303916,0.360783473157426,-0.173129667366941,-0.267871978352114,"non-habitable"
