"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-813 b",-0.569978576110969,-0.628354373360065,-0.280892805863621,-0.00337430680942872,-0.284826274520228,-0.243331739799352,-0.298411207570643,-0.145826016844927,-0.0332133110988496,"Superterran",0.425359943547654,-0.179399125710124,"G",-0.264967761251815,-0.197707203856618,-0.196177673848665,"non-habitable"
"HD 154857 b",1.69271933400266,1.51674023485134,1.43875937754207,1.66112835749759,1.52530779990762,0.892753288894693,1.75117665016597,-1.28377139718388,-1.11279320602384,"Jovian",0.256593763912081,0.250058770797937,"G",1.12887350145947,0.468529718039025,0.440550954877696,"non-habitable"
"HD 222155 b",1.62503337775203,1.53308239883349,3.86289720692101,2.92006886423235,3.76913571797286,4.13964263582303,3.69385527379336,-1.90065296309687,-2.28139154443785,"Jovian",0.379785783152234,0.108995958076311,"G",0.775611525679076,0.273833813048984,0.252120357283345,"non-habitable"
"Kepler-1603 b",-0.880618455202006,-0.793096721001697,-0.510720053192702,-1.00710105383255,-0.508258857100452,-0.509093320584609,-0.50447102688416,1.59689531417231,1.37884775542647,"Terran",0.94168873046678,-0.06027941718964,"F",0.475045352501551,0.102224598546403,0.0797989360486217,"non-habitable"
"K2-259 b",-0.515691684386762,-0.593671773856563,-0.30363931370785,-0.113868836396113,-0.30693988833835,-0.269634747611871,-0.318805400821733,0.209982124993653,0.257782483999229,"Superterran",0.757929767280347,-0.116704542278291,"F",0.136683130591619,-0.0380679520997206,-0.0494998152078915,"non-habitable"
"WASP-103 b",1.46011335215918,2.26981034765127,-0.549408374801712,-1.29994103742514,-0.54587072302694,-0.55383070324149,-0.539158422103582,2.21145223183243,1.87427459456444,"Jovian",0.809973403675693,-0.0195279379589481,"F",0.567717985766493,0.151108437717387,0.127687635430487,"non-habitable"
"Kepler-1457 b",-0.616582548387251,-0.65653398545666,-0.00952763128283624,0.522102892331228,-0.0210115071958743,0.0704623755841589,-0.0551090774188107,-0.647525754225294,-0.45350573788022,"Superterran",0.556934801900714,-0.154321292337391,"G",-0.112515790514708,-0.13679976873159,-0.14007989945104,"non-habitable"
"Kepler-129 b",-0.502614231118641,-0.585001123980688,-0.295149228249256,-0.103526792753999,-0.298686029222924,-0.259817206138005,-0.311193311759686,0.439919953716258,0.4445005304333,"Superterran",0.454481983692609,0.0431666454728857,"G",0.595853687249482,0.181987509783479,0.163353789411312,"non-habitable"
"WASP-78 b",1.32251587011287,3.14121066017675,-0.500211961112212,-1.02363387430852,-0.498043139952812,-0.496942249748568,-0.495049621978522,2.04072824080193,1.73665453755859,"Jovian",0.799803086905859,0.300214437543404,"F",1.64573161641738,0.740436286959116,0.682021435185204,"non-habitable"
"Kepler-99 b",-0.512744915407422,-0.756246459029226,-0.477669918328213,-0.709824517238575,-0.476128302202303,-0.470875675858717,-0.474838749172925,0.230206370458365,0.274236304543702,"Superterran",-0.711614618084087,-0.242093709141958,"K",-0.750274254246258,-0.40659957852823,-0.385141748338892,"non-habitable"
"Kepler-292 e",-0.419036093504034,-0.526474237318529,-0.370171055901248,-0.245813953319437,-0.371620465400422,-0.346568971831148,-0.378456808278025,-0.0763475285282498,0.0238914806186461,"Neptunian",-0.0742279357799686,-0.210746417426041,"K",-0.533355886237358,-0.305489638550352,-0.2933949291961,"non-habitable"
"Kepler-553 b",-0.01496304686374,-0.147133305248982,-0.482026066700203,-0.769428849219206,-0.480363246022792,-0.475912924013274,-0.478744409432389,0.590714841414232,0.566627083160216,"Neptunian",-0.113014813655164,-0.204476959082858,"K",-0.524030051192921,-0.300473603351985,-0.28814072618237,"non-habitable"
"WASP-138 b",1.36666586060766,1.32037418624292,-0.479203989670981,-0.814728550479385,-0.477619689868301,-0.472649604885103,-0.476214175574182,1.34274735123288,1.17390535053967,"Jovian",0.972453446201103,-0.0446057713316816,"F",0.559039960642347,0.138925279430665,0.11376634669128,"non-habitable"
"Kepler-352 b",-1.21461680209162,-0.875467894822513,-0.397205725851201,-0.334434972894135,-0.39790292840827,-0.377830611629755,-0.402695706275664,-0.0420747940974023,0.0520004839433953,"Terran",-0.177011501730496,-0.226420063284,"K",-0.606372186296081,-0.338476644293006,-0.32407871552415,"non-habitable"
"rho CrB c",0.099441748091506,-0.00185532901938619,0.250788046911875,0.901398685636368,0.233004140020316,0.328002514940134,0.211488362656454,-0.828608560280461,-0.612161128264792,"Neptunian",0.298665554925993,-0.0446057713316816,"G",0.194083853179686,0.00435048163539033,-0.00238618241476413,"non-habitable"
"Kepler-330 c",-0.631404137303647,-0.665204635332535,-0.327965166935994,-0.0981728903764544,-0.330588904168267,-0.297764037254386,-0.340615612531144,-0.436503368777378,-0.274527176027801,"Superterran",-0.291224271542131,-0.24522843831355,"K",-0.683367098996868,-0.375312448314476,-0.358551577155705,"non-habitable"
"BD-17 63 b",1.76348741106567,1.49976788246719,1.49184734406551,1.92182190125691,1.63020138609614,0.755121528671074,1.88476599186089,-1.88835528576216,-2.28861214494734,"Jovian",-0.865410032997159,-0.238958979970366,"K",-0.76770379385299,-0.415177325752646,-0.392195064889129,"non-habitable"
