"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_TEMPERATURE","S_RADIUS_EST","P_HABITABLE"
"HD 154857 b",1.69271933400266,1.43875937754207,1.66112835749759,-1.11279320602384,0.256593763912081,0.250058770797937,"non-habitable"
"Kepler-389 c",-0.81136153169859,-0.341215211403811,-0.147344799395307,-0.0877987570840677,0.015343634977073,-0.223285334112408,"non-habitable"
"Kepler-1307 b",-0.473870474377654,-0.281917218399294,-0.0348044639123355,0.120614931133168,0.575957943490258,-0.132378188136249,"non-habitable"
"128",-0.83343919709682,-0.362155561342472,0.0694875139909472,-1.41861962872865,-2.91265949843857,-0.369469981813588,"habitable"
"Kepler-943 b",0.173976492264986,-0.0327702975330246,0.507701829370196,-0.566089866985471,0.282092302410564,-0.185668584053308,"non-habitable"
"Kepler-1127 b",-0.627676745339002,-0.460161851326998,-0.660825174033268,0.627239359458785,0.339358125781571,-0.173129667366941,"non-habitable"
"HD 132563 b",1.46011335215918,2.56427597675517,2.39454802734239,-2.07746672393716,0.77225974173584,-0.129243458964657,"non-habitable"
"Kepler-1101 b",-0.473870474377654,0.157586800497403,0.774666847937911,-0.817899138999228,0.284304626634753,-0.185668584053308,"non-habitable"
"K2-98 b",0.0735092803422801,-0.369275001463191,-0.330398258649981,0.740425922781424,0.872660297096609,0.0212235412717439,"non-habitable"
"377",-0.542565212856377,-0.0569742380458056,0.566463734762737,-1.39244353544919,-1.84417502571825,-0.287322231108409,"habitable"
"HD 39091 b",2.35215171907498,2.87031352443499,2.56253740915946,-2.24641803268064,0.735344212760362,-0.126108729793066,"non-habitable"
"179",-0.465026274541506,0.0990891902214763,0.793457941720306,-1.40630157853925,-1.11971898138745,-0.283198326982952,"habitable"
"263",-0.882151128114943,0.254345917225296,0.969882713150685,-1.69563727772859,-1.45651680521729,-0.288710298291577,"habitable"
"Kepler-562 b",0.0751522372542355,-0.294669891126324,-0.0350048654001684,-0.0674495197248633,0.241021497746877,-0.188803313224899,"non-habitable"
"439",-1.19950507026739,-0.515289370130389,-0.452438323172927,-1.74869827972033,-4.5932378730384,-0.433312188609051,"habitable"
"Kepler-685 b",0.624916860990736,-0.529825960921095,-1.12864436089212,1.40874495067592,0.658766078845658,-0.107300354763515,"non-habitable"
"WASP-72 b.1",1.66315890856493,-0.485363467707102,-1.01645159279421,1.57080424306742,0.950636133965281,0.212442020738837,"non-habitable"
"85",-0.585666752308789,0.613489593823004,1.25811978628057,-1.35545932671913,0.0467444839410083,-0.201526031229839,"habitable"
"301",-0.872718554569534,-0.338856425399072,0.135063214617825,-1.43617094696106,-2.84701637647585,-0.36360416036046,"habitable"
"Kepler-164 b",-0.829409520092116,-0.459143382203596,-0.668847122272054,0.826632824749091,0.580177406218677,-0.110435083935107,"non-habitable"
"Kepler-1611 b",-1.25264115210248,-0.460645129997921,-0.656069538852574,0.597756389153816,0.274342955077917,-0.179399125710124,"non-habitable"
"Kepler-984 b",-0.576997309676598,-0.0748895044910311,0.429066682664832,-0.484156881785851,0.27987918976004,-0.179399125710124,"non-habitable"
"Kepler-1158 b",-0.509129135727513,-0.309012015839972,-0.18308730130834,0.725285774014936,0.903768032014015,0.140343249792228,"non-habitable"
"93",-0.38105214826526,-0.235504469660902,0.325278994187695,-1.45833727996135,-2.5630533288849,-0.335778477859359,"habitable"
"GJ 179 b",1.18111560986278,2.41738896623222,2.611707700252,-3.70243809777512,-2.88423399165251,-0.351809230147667,"non-habitable"
"Kepler-1592 b.1",-0.780495116805834,-0.492938870553549,-0.888228210159757,1.20940401926334,0.913769635128829,-0.0696836047044151,"non-habitable"
"320",-0.705517327649342,-0.021966345527269,0.665862636295389,-1.68543781354222,-2.22596074436887,-0.318967042682849,"habitable"
"342",-0.79973386100054,0.206267430044416,0.917800796712983,-1.57777655704742,-1.24876157815304,-0.285844150187957,"habitable"
"121",-0.826452063561171,-0.294755079374311,0.224636824255917,-1.49013290053958,-2.68981454750418,-0.360737985493565,"habitable"
"K2-233 c.1",-0.861726647179672,-0.438623069664408,-0.508910527791962,0.116212053741554,-0.497235615581812,-0.238958979970366,"non-habitable"
"105",-0.695548472179232,-0.223121048411681,0.306564763031453,-1.69128622683394,-2.69821973902431,-0.362091704561443,"habitable"
"Kepler-261 c",-0.616582548387251,-0.241411248269471,0.128807312894164,-0.435485896312583,-0.314321075421062,-0.223285334112408,"non-habitable"
"Kepler-267 d",-0.528961885439243,-0.24566731391539,0.207106612388664,-0.962762226564996,-1.43218241858509,-0.295384105059017,"non-habitable"
"K2-230 b",-0.627676745339002,-0.499193533922161,-0.915681883509369,1.25302065531735,0.639995301737959,-0.0352015838169066,"non-habitable"
"Kepler-1606 b",-0.591197193173247,0.615733786927405,1.25797314636564,-1.35116374006759,0.0682439040300401,-0.201342229911266,"habitable"
"Kepler-219 c.1",-0.207895259026384,-0.222349631260547,0.0871743046918829,0.199278046582649,0.471675264186756,-0.00385429210098964,"non-habitable"
"Kepler-812 b",-0.212525349909761,-0.35543926089703,-0.331355651342603,0.89782491522794,1.43860040820438,0.0651097496740276,"non-habitable"
"Kepler-1268 b",-0.605618281352761,-0.074610776294739,0.40281124773668,-0.285514521687338,0.597026645740636,-0.129243458964657,"non-habitable"
"GJ 4276 b",-0.0842166352252462,-0.404011112653048,-0.190262764975363,-1.08247245793348,-2.85299560693513,-0.342405042632892,"non-habitable"
"HD 40307 b",-0.672535010955322,-0.485301198188954,-0.739314257868484,0.487834992246452,-0.489714426897019,-0.206112287731823,"non-habitable"
"32",-0.909250540626013,-0.518375861853938,-0.639624488716418,-1.41873857142858,-3.28645252887117,-0.433318588849808,"habitable"
"Kepler-85 e.1",-0.890181254742566,-0.226572789166145,0.142588072812268,-0.280052186270649,0.0842549472351731,-0.191938042396491,"non-habitable"
"Kepler-167 b",-0.750518700821969,-0.481781732221222,-0.73096842564003,0.335601365223632,-0.572952798655808,-0.242093709141958,"non-habitable"
"Kepler-1057 b",-0.252940854049496,-0.326342050386454,-0.162624923927167,0.283922293623789,0.683705847433163,-0.126108729793066,"non-habitable"
"Kepler-1217 b",-0.616582548387251,-0.520277765841424,-1.04906529795563,1.23717791431067,0.598078206835637,-0.132378188136249,"non-habitable"
"Kepler-1457 b",-0.616582548387251,-0.00952763128283624,0.522102892331228,-0.45350573788022,0.556934801900714,-0.154321292337391,"non-habitable"
"29",-0.416046831791113,-0.166655359430945,0.480824495232512,-1.69915598404443,-2.71054983221814,-0.345405013571549,"habitable"
"XO-2 S b",0.646821762635819,-0.297323379029117,-0.0307294609368975,-0.0319806903770525,0.041850098664071,-0.157456021508982,"non-habitable"
"Kepler-549 c",-0.353625994114248,0.313225915323422,0.973807008107818,-1.11786509220611,-0.00316260045586085,-0.20761168825445,"non-habitable"
"201",-0.569582313352297,0.606962702408923,1.25854626598048,-1.36795238160793,-0.0157832816561859,-0.202060589172174,"habitable"
"HIP 14810 d",1.02758996971162,2.05287910246902,2.14463831375962,-2.0002978621792,0.206400454027724,-0.135512917307841,"non-habitable"
"Kepler-1557 b",-0.784849451113693,-0.480573627155957,-0.802247892381121,1.02529597437501,0.7987851385335,-0.104165625591924,"non-habitable"
"337",-0.708816713706923,-0.0951946947245872,0.698989665960577,-1.34711860684451,-1.77646084242895,-0.295384105059017,"habitable"
"Kepler-1299 b",-0.340037053198152,-0.273640265594455,0.0184362315491846,-0.104281141895386,0.278772337599253,-0.185668584053308,"non-habitable"
"Kepler-870 b",-0.389990467994087,-0.25180001425065,0.054650354757577,-0.00437032558134193,0.547401333711134,-0.151186563165799,"non-habitable"
"Kepler-1101 b.1",-0.473870474377654,0.157586800497403,0.774666847937911,-0.817899138999228,0.284304626634753,-0.185668584053308,"non-habitable"
"K2-154 c",-0.591197193173247,-0.436711641827607,-0.450845283102134,-0.304790056709376,-1.6714866569745,-0.273441000857875,"non-habitable"
"Kepler-1190 b",-0.861726647179672,-0.396314307821284,-0.314652186341162,-0.160779907196072,-0.779498348426933,-0.24522843831355,"non-habitable"
"346",-0.853683405312224,0.239587097255497,0.945198073321164,-1.60518128211412,-1.24507698814084,-0.283565973409873,"habitable"
"113",-0.77749724530308,-0.147845020556361,0.425760289669848,-1.32814817506258,-2.00182813708355,-0.300611913914032,"habitable"
"147",-0.551225118458272,0.610521285046426,1.26246959618089,-1.39374765172886,-0.0158000042140661,-0.210368687234287,"habitable"
"Kepler-1132 b",-0.505865773679639,0.0384282281828553,0.634696860704886,-0.826144610090481,-0.0753997433184238,-0.210746417426041,"non-habitable"
"264",-0.90721984031633,0.474354056602995,1.19892016041136,-1.91824293694088,-1.49956229361264,-0.29199400062023,"habitable"
"265",-0.933534897047165,0.273401107243634,1.0081533023985,-1.88352473323179,-1.92907831299477,-0.300717643926218,"habitable"
"Kepler-684 b",-0.252940854049496,-0.437502965356353,-0.52922968964302,0.384388811972455,0.149019903442961,-0.201342229911266,"non-habitable"
"Kepler-752 b",-0.381462291076826,-0.292556525111831,-0.0117253139654267,-0.191234611601364,0.0118779140993058,-0.210746417426041,"non-habitable"
"GJ 3998 b",-0.844170188755302,-0.527454862560635,-0.946678932350465,0.00395165063005948,-2.2674551572864,-0.317327209260159,"non-habitable"
"286",-0.529645397998638,-0.0984561838122646,0.51757123985672,-1.4855820563597,-2.09247122067026,-0.311057750916975,"habitable"
"Kepler-1391 b",-0.725510705100924,0.0161825350077654,0.556006044836076,-0.431950008264197,0.529353641969426,-0.126108729793066,"non-habitable"
"K2-157 b",-1.06351533000518,-0.573764481665037,-1.48990606354418,1.86476505896267,0.107056493071159,-0.195072771568083,"non-habitable"
"GJ 676 A d",-0.632629325815064,-0.498044951901921,-0.818788366867275,-0.00801680260022401,-2.24747124935175,-0.254632625828325,"non-habitable"
"K2-155 b",-0.681239355233854,-0.463328587200691,-0.560551851387356,-0.166977945933962,-1.43218241858509,-0.289114646715834,"non-habitable"
"Kepler-119 b.1",-0.203290500748812,-0.513164838026654,-0.982264429732156,0.894538486712341,0.263255656950375,-0.20761168825445,"non-habitable"
"Kepler-313 c",-0.446027205136084,-0.133263837942628,0.274265656517021,0.0320085131795439,0.408037773231963,0.0118193537569688,"non-habitable"
"Kepler-311 c",-0.820347827373573,-0.264911340597401,0.0130865013444237,0.157364161156982,0.598078206835637,-0.0978961672487404,"non-habitable"
"110",-0.581114750720346,-0.276517093130717,0.216320616159636,-1.79016339438389,-3.01825335845057,-0.382323736924589,"habitable"
"HD 190360 b",1.47554490341054,3.34328989783024,2.74545943650419,-2.49997849864832,0.215353411471961,-0.113569813106699,"non-habitable"
"Kepler-124 b",-1.29960026400885,-0.503684103816979,-0.842089511562707,0.427526533614696,-0.454735490543915,-0.270306271686283,"non-habitable"
"505",-0.96777625514945,-0.423434943926325,-0.135989088612321,-1.84442408610121,-3.58710046861194,-0.420428598792598,"habitable"
"HIP 5158 b",1.25470428288865,0.966908411850781,1.56905656693164,-1.91753500221276,-0.671495729986462,-0.235824250798775,"non-habitable"
"Kepler-1171 b",-0.449077946039448,-0.527227004727888,-1.16854162911564,2.0311774532961,1.69320669251816,0.140343249792228,"non-habitable"
"69",-0.871116145961283,-0.327744068427987,0.172573042537934,-1.46313836707241,-2.90579789088557,-0.361083149641821,"habitable"
"Kepler-106 d.2",-0.392337271562031,-0.227187969488552,0.115896858264951,-0.0456707444195998,0.548461330988029,-0.144917104822616,"non-habitable"
"Kepler-1597 b",-1.05384170092698,-0.493485935459531,-0.903491550302292,1.31629292035099,1.07553847445605,-0.0352015838169066,"non-habitable"
"Kepler-243 b",-0.47701883941787,-0.449868362531735,-0.609830495085768,0.354178804946473,-0.157980668122489,-0.20761168825445,"non-habitable"
